DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
Luz energia;02/02/2025 15:23;05/08/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/08/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/08/2026;;Moradia;Conta De Água;;Itaú;100.0;
Óculos 👓 Raissa  10/10;13/10/2025 10:12;05/08/2026;;Parcelamentos;Cartão Mãe;;Itaú;129.9;
Ventilador mãe presente  6/10;16/02/2026 02:48;05/08/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Rtx 5060ti 16GB  10/12;20/10/2025 07:59;05/08/2026;;Parcelamentos;Cartão Mãe;;Itaú;298.5;
Parcela i30  13/34;12/05/2025 12:03;05/08/2026;;Transporte;I30;;Itaú;1200.0;
Mensalidade pós  4/20;01/12/2025 18:13;05/08/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Plano sem parar;07/01/2026 16:58;10/08/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/08/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/08/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/08/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  5/10;16/03/2026 10:32;10/08/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Claro;25/11/2024 09:38;11/08/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  6/12;21/03/2026 19:16;01/09/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/09/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Multa i30;06/01/2026 14:55;05/09/2026;;Despesas Variáveis (pessoal);Carro;;Itaú;131.76;
Luz energia;02/02/2025 15:23;05/09/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/09/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/09/2026;;Moradia;Conta De Água;;Itaú;100.0;
Ventilador mãe presente  7/10;16/02/2026 02:48;05/09/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Rtx 5060ti 16GB  11/12;20/10/2025 07:59;05/09/2026;;Parcelamentos;Cartão Mãe;;Itaú;298.5;
Parcela i30  14/34;12/05/2025 12:03;05/09/2026;;Transporte;I30;;Itaú;1200.0;
Mensalidade pós  5/20;01/12/2025 18:13;05/09/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Plano sem parar;07/01/2026 16:58;10/09/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/09/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/09/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/09/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  6/10;16/03/2026 10:32;10/09/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Claro;25/11/2024 09:38;11/09/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  7/12;21/03/2026 19:16;01/10/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/10/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Luz energia;02/02/2025 15:23;05/10/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/10/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/10/2026;;Moradia;Conta De Água;;Itaú;100.0;
Ventilador mãe presente  8/10;16/02/2026 02:48;05/10/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
